"ID","Name","Component","CA","CCO","CE","CEE","CEG","CI","CLLOC","CR","CV","NCR","Clone Metric Rules"
"C267","0~CloneClass","L103","1","4","99","14.1429","0.888889","2","22","12.5714","1","0.0714286","0"
"C268","3~CloneClass","L103","1","2","131","18.7143","0.473282","2","31","8.85714","1","0.0714286","1"
"C269","6~CloneClass","L103","1","2","125","17.8571","0.496","2","31","8.85714","1","0.0714286","1"
"C270","9~CloneClass","L103","1","3","184","39.4286","0.48913","3","30","19.2857","1","0.0714286","2"
"C713","13~CloneClass","L103","1","2","91","13","0.571429","2","26","7.42857","1","0.0714286","0"
"C725","16~CloneClass","L103","1","16","77","11","5.4026","2","26","59.4286","1","0.0714286","1"
"C750","19~CloneClass","L103","1","28","167","95.4286","11.9042","2","71","1136","1","0.285714","4"
"C767","22~CloneClass","L103","1","6","83","23.7143","2.31325","2","32","54.8571","1","0.142857","0"
"C775","25~CloneClass","L103","1","14","81","11.5714","6.39506","2","37","74","1","0.0714286","2"
"C823","28~CloneClass","L103","1","2","119","17","0.504202","2","30","8.57143","1","0.0714286","1"
"C824","31~CloneClass","L103","1","3","124","26.5714","0.580645","3","24","15.4286","1","0.0714286","2"
"C833","35~CloneClass","L103","1","4","233","66.5714","0.497854","4","29","33.1429","1","0.0714286","2"
"C834","40~CloneClass","L103","1","5","286","102.143","0.48951","5","28","50","1","0.0714286","2"
"C876","46~CloneClass","L103","1","2","99","14.1429","0.444444","2","22","6.28571","1","0.0714286","0"
"C897","49~CloneClass","L103","1","8","97","27.7143","2.02062","2","24.5","56","1","0.142857","0"
"C1031","52~CloneClass","L103","1","8","89","12.7143","2.06742","2","23","26.2857","1","0.0714286","0"
"C1036","55~CloneClass","L103","1","12","51","7.28571","5.64706","2","24","41.1429","1","0.0714286","1"
"C1592","58~CloneClass","L103","1","2","85","12.1429","0.517647","2","22","6.28571","1","0.0714286","0"
"C1608","61~CloneClass","L103","1","10","25","3.57143","8.4","2","21","30","1","0.0714286","0"
"C1701","64~CloneClass","L103","1","2","59","16.8571","0.728814","2","21.5","12.2857","1","0.142857","0"
"C3263","67~CloneClass","L103","1","2","1143","816.429","0.0778653","2","44.5","63.5714","1","0.357143","3"
"C3317","70~CloneClass","L103","1","16","85","12.1429","4.14118","2","22","50.2857","1","0.0714286","1"
"C3522","73~CloneClass","L103","1","2","43","6.14286","1.2093","2","26","7.42857","1","0.0714286","0"
"C3523","76~CloneClass","L103","1","2","41","5.85714","1.17073","2","24","6.85714","1","0.0714286","0"
"C3524","79~CloneClass","L103","1","2","39","5.57143","1.12821","2","22","6.28571","1","0.0714286","0"
"C3624","82~CloneClass","L103","1","24","275","117.857","1.97818","6","22.6667","233.143","1","0.0714286","3"
"C3631","89~CloneClass","L103","1","4","66","18.8571","1.27273","2","21","24","1","0.142857","0"
"C3654","92~CloneClass","L103","1","8","41","23.4286","4.29268","2","22","100.571","1","0.285714","1"
"C3666","95~CloneClass","L103","1","8","157","22.4286","1.07006","2","21","24","1","0.0714286","1"
"C3675","98~CloneClass","L103","1","10","53","15.1429","3.96226","2","21","60","1","0.142857","0"
"C3769","101~CloneClass","L103","1","8","41","5.85714","4.68293","2","24","27.4286","1","0.0714286","0"
"C3772","104~CloneClass","L103","1","2","55","7.85714","0.745455","2","20.5","5.85714","1","0.0714286","0"
"C3856","107~CloneClass","L103","1","24","63","36","18.2857","2","48","658.286","1","0.285714","3"
"C3862","110~CloneClass","L103","1","12","80","11.4286","5.325","2","35.5","60.8571","1","0.0714286","2"
"C3863","113~CloneClass","L103","1","24","197","56.2857","4.26396","4","35","240","1","0.0714286","4"
"C3865","118~CloneClass","L103","1","20","159","22.7143","6.41509","2","51","145.714","1","0.0714286","3"
"C3899","121~CloneClass","L103","1","16","15","4.28571","25.6","2","24","109.714","1","0.142857","1"
"C3929","124~CloneClass","L103","1","10","11","6.28571","20","2","22","125.714","1","0.285714","1"
